id,aleacion,composicion,categoria,fabricacion,fase,densidad,dureza,modulo_young,limite_elastico,esfuerzo_ultimo,deformacion
545,MoNbTiV1.5Zr,Mo-Nb-Ti-V1.5-Zr,Refractario,Fusion mediante mnetodo Bridgman,BCC,7.1,NA,147,1735,3300,20
546,MoNbTiV2.0Zr,Mo-Nb-Ti-V2.0-Zr,Refractario,Fusion mediante mnetodo Bridgman,BCC,7,NA,146,1538,3176,23
547,MoNbTiV3.0Zr,Mo-Nb-Ti-V3.0-Zr,Refractario,Fusion mediante mnetodo Bridgman,BCC,6.9,NA,143,1418,2508,24
548,MoNbTiZr,Mo-Nb-Ti-Zr,Refractario,Fusion mediante mnetodo Bridgman,BCC,7.3,NA,155,1592,3450,34
549,NbTaVW,Nb-Ta-V-W,Refractario,Fusion por arco al vacio,BCC,12.9,492,208,1530,NA,12
550,NbTaTiVW,Nb-Ta-Ti-V-W,Refractario,Fusion por arco al vacio,BCC+HCP,11.1,447,NA,1420,NA,20
551,CoFeNiV,Co-Fe-Ni-V,HEA,Fusion por arco al vacio,FCC,7.8,238,187,NA,NA,NA
552,CoFeMo0.2NiV,Co-Fe-Mo0.2-Ni-V,HEA,Fusion por arco al vacio,FCC+IM,8,267,NA,NA,NA,NA
553,CoFeMo0.4NiV,Co-Fe-Mo0.4-Ni-V,HEA,Fusion por arco al vacio,FCC+IM,8.1,402,NA,NA,NA,NA
554,CoFeMo0.6NiV,Co-Fe-Mo0.6-Ni-V,HEA,Fusion por arco al vacio,FCC+IM,8.2,557,NA,NA,NA,NA
555,CoFeMo0.8NiV,Co-Fe-Mo0.8-Ni-V,HEA,Fusion por arco al vacio,FCC+IM,8.3,606,NA,NA,NA,NA
556,CoFeMoNiV,Co-Fe-Mo-Ni-V,HEA,Fusion por arco al vacio,FCC+IM,8.4,625,NA,NA,NA,NA
557,CoFeMoNi1.2V,Co-Fe-Mo-Ni1.2-V,HEA,Fusion por arco al vacio,FCC+IM,8.4,602,NA,NA,NA,NA
558,CoFeMoNi1.4V,Co-Fe-Mo-Ni1.4-V,HEA,Fusion por arco al vacio,FCC+IM,8.5,538,NA,NA,NA,NA
559,CoFeMoNi1.6V,Co-Fe-Mo-Ni1.6-V,HEA,Fusion por arco al vacio,FCC+IM,8.5,520,NA,NA,NA,NA
560,CoFeMoNi1.8V,Co-Fe-Mo-Ni1.8-V,HEA,Fusion por arco al vacio,FCC+IM,8.5,510,NA,NA,NA,NA
561,CoFeMoNi2V,Co-Fe-Mo-Ni2-V,HEA,Fusion por arco al vacio,FCC+IM,8.5,382,NA,NA,NA,NA
562,CoCrCuFeMnNiTiV,Co-Cr-Cu-Fe-Mn-Ni-Ti-V,HEA,fusión por inducción de media frecuencia en atmósfera inerte,FCC+IM,7.3,NA,74,1312,1312,1
